Date,Close
9/15/2022,90.84
9/14/2022,94.1
9/13/2022,93.17
9/12/2022,94
9/9/2022,92.84
9/8/2022,89.15
9/7/2022,88
9/6/2022,92.83
9/5/2022,95.74
9/2/2022,93.02
9/1/2022,92.36
8/31/2022,96.49
8/30/2022,99.31
8/29/2022,105.09
8/26/2022,100.99
8/25/2022,99.34
8/24/2022,101.22
8/23/2022,100.22
8/22/2022,96.48
8/19/2022,96.72
8/18/2022,96.59
8/17/2022,93.65
8/16/2022,92.34
8/15/2022,95.1
8/12/2022,98.15
8/11/2022,99.6
8/10/2022,97.4
8/9/2022,96.31
8/8/2022,96.65
8/5/2022,94.92
8/4/2022,94.12
8/3/2022,96.78
8/2/2022,100.54
8/1/2022,100.03
7/29/2022,110.01
7/28/2022,107.14
7/27/2022,106.62
7/26/2022,104.4
7/25/2022,105.15
7/22/2022,103.2
7/21/2022,103.86
7/20/2022,106.92
7/19/2022,107.35
7/18/2022,106.27
7/15/2022,101.16
7/14/2022,99.1
7/13/2022,99.57
7/12/2022,99.49
7/11/2022,107.1
7/8/2022,107.02
7/7/2022,104.65
7/6/2022,100.69
7/5/2022,102.77
7/4/2022,113.5
7/1/2022,111.63
6/30/2022,114.81
6/29/2022,116.26
6/28/2022,117.98
6/27/2022,115.09
6/24/2022,113.12
6/23/2022,110.05
6/22/2022,111.74
6/21/2022,114.65
6/20/2022,114.13
6/17/2022,113.12
6/16/2022,119.81
6/15/2022,118.51
6/14/2022,121.17
6/13/2022,122.27
6/10/2022,122.01
6/9/2022,123.07
6/8/2022,123.58
6/7/2022,120.57
6/6/2022,119.51
6/3/2022,119.72
6/2/2022,117.61
6/1/2022,116.29
5/31/2022,122.84
5/30/2022,121.67
5/27/2022,119.43
5/26/2022,117.4
5/25/2022,114.03
5/24/2022,113.56
5/23/2022,113.42
5/20/2022,112.55
5/19/2022,112.04
5/18/2022,109.11
5/17/2022,111.93
5/16/2022,114.24
5/13/2022,111.55
5/12/2022,107.45
5/11/2022,107.51
5/10/2022,102.46
5/9/2022,105.94
5/6/2022,112.39
5/5/2022,110.9
5/4/2022,110.14
5/3/2022,104.97
5/2/2022,107.58
4/29/2022,109.34
4/28/2022,107.59
4/27/2022,105.32
4/26/2022,104.99
4/25/2022,102.32
4/22/2022,106.65
4/21/2022,108.33
4/20/2022,106.8
4/19/2022,107.25
4/18/2022,113.16
4/15/2022,111.7
4/14/2022,111.7
4/13/2022,108.78
4/12/2022,104.64
4/11/2022,98.48
4/8/2022,102.78
4/7/2022,100.58
4/6/2022,101.07
4/5/2022,106.64
4/4/2022,107.53
4/1/2022,104.39
3/31/2022,107.91
3/30/2022,113.45
3/29/2022,110.23
3/28/2022,112.48
3/25/2022,120.65
3/24/2022,119.03
3/23/2022,121.6
3/22/2022,115.48
3/21/2022,115.62
3/18/2022,107.93
3/17/2022,106.64
3/16/2022,98.02
3/15/2022,99.91
3/14/2022,106.9
3/11/2022,112.67
3/10/2022,109.33
3/9/2022,111.14
3/8/2022,127.98
3/7/2022,123.21
3/4/2022,118.11
3/3/2022,110.46
3/2/2022,112.93
3/1/2022,104.97
2/28/2022,100.99
2/25/2022,97.93
2/24/2022,99.08
2/23/2022,96.84
2/22/2022,96.84
2/21/2022,95.39
2/18/2022,93.54
2/17/2022,92.97
2/16/2022,94.81
2/15/2022,93.28
2/14/2022,96.48
2/11/2022,94.44
2/10/2022,91.41
2/9/2022,91.55
2/8/2022,90.78
2/7/2022,92.69
2/4/2022,93.27
2/3/2022,91.11
2/2/2022,89.47
2/1/2022,89.16
1/31/2022,91.21
1/28/2022,90.03
1/27/2022,89.34
1/26/2022,89.96
1/25/2022,88.2
1/24/2022,86.27
1/21/2022,87.89
1/20/2022,88.38
1/19/2022,88.44
1/18/2022,87.51
1/17/2022,86.48
1/14/2022,86.06
1/13/2022,84.47
1/12/2022,84.67
1/11/2022,83.72
1/10/2022,80.87
1/7/2022,81.75
1/6/2022,81.99
1/5/2022,80.8
1/4/2022,80
1/3/2022,78.98
12/31/2021,77.78
12/30/2021,79.32
12/29/2021,79.23
12/28/2021,78.94
12/27/2021,78.6
12/24/2021,76.14
12/23/2021,76.85
12/22/2021,75.29
12/21/2021,73.98
12/20/2021,71.52
12/17/2021,73.52
12/16/2021,75.02
12/15/2021,73.88
12/14/2021,73.7
12/13/2021,74.39
12/10/2021,75.15
12/9/2021,74.42
12/8/2021,75.82
12/7/2021,75.44
12/6/2021,73.08
12/3/2021,69.88
12/2/2021,69.67
12/1/2021,68.87
11/30/2021,70.57
11/29/2021,73.44
11/26/2021,72.72
11/25/2021,82.22
11/24/2021,82.25
11/23/2021,82.31
11/22/2021,79.7
11/19/2021,78.89
11/18/2021,81.24
11/17/2021,80.28
11/16/2021,82.43
11/15/2021,82.05
11/12/2021,82.17
11/11/2021,82.87
11/10/2021,82.64
11/9/2021,84.78
11/8/2021,83.43
11/5/2021,82.74
11/4/2021,80.54
11/3/2021,81.99
11/2/2021,84.72
11/1/2021,84.71
10/29/2021,84.38
10/28/2021,84.32
10/27/2021,84.58
10/26/2021,86.4
10/25/2021,85.99
10/22/2021,85.53
10/21/2021,84.61
10/20/2021,85.82
10/19/2021,85.08
10/18/2021,84.33
10/15/2021,84.86
10/14/2021,84
10/13/2021,83.18
10/12/2021,83.42
10/11/2021,83.65
10/8/2021,82.39
10/7/2021,81.95
10/6/2021,81.08
10/5/2021,82.56
10/4/2021,81.26
10/1/2021,79.28
9/30/2021,78.52
9/29/2021,78.64
9/28/2021,79.09
9/27/2021,79.53
9/24/2021,78.09
9/23/2021,77.25
9/22/2021,76.19
9/21/2021,74.36
9/20/2021,73.92
9/17/2021,75.34
9/16/2021,75.67
9/15/2021,75.46
