Date,Open,High,Low,Close
9/15/2022,86.81,87.24,84.53,85.1
9/14/2022,87.94,90.19,86.18,88.48
9/13/2022,88.09,89.31,85.06,87.31
9/12/2022,86.25,89.1,85.16,87.78
9/9/2022,82.8,87.2,82.68,86.79
9/8/2022,81.91,84.25,81.2,83.54
9/7/2022,86.93,87.76,81.5,81.94
9/6/2022,88.95,89.48,86.18,86.88
9/2/2022,86.56,89.66,86.35,86.87
9/1/2022,88.83,89.63,85.98,86.61
8/31/2022,92.31,92.73,88.27,89.55
8/30/2022,96.9,97.66,90.54,91.64
8/29/2022,92.96,97.37,92.29,97.01
8/26/2022,93.06,94.02,91.08,93.06
8/25/2022,95.35,95.76,92.29,92.52
8/24/2022,93.78,95.4,92.79,94.89
8/23/2022,90.55,94.22,90.42,93.74
8/22/2022,89.65,91.26,86.6,90.23
8/19/2022,90.39,92.09,88.38,90.77
8/18/2022,87.39,91.46,87.32,90.5
8/17/2022,87.1,89.16,85.88,88.11
8/16/2022,87.93,90.65,85.73,86.53
8/15/2022,91.94,92.1,86.82,89.41
8/12/2022,94.09,94.81,91.16,92.09
8/11/2022,91.55,95.05,91.24,94.34
8/10/2022,90.51,92.43,87.66,91.93
8/9/2022,90.69,92.65,89.05,90.5
8/8/2022,88.46,90.89,87.22,90.76
8/5/2022,88.06,90.76,87.01,89.01
8/4/2022,90.95,91.9,87.55,88.54
8/3/2022,93.83,96.57,90.38,90.66
8/2/2022,93.75,96.47,92.59,94.42
8/1/2022,98.46,98.65,92.42,93.89
7/29/2022,97.3,101.88,96.41,98.62
7/28/2022,98.17,99.84,96.04,96.42
7/27/2022,95.6,98.59,94.3,97.26
7/26/2022,96.33,99,94.76,94.98
7/25/2022,95.1,96.94,93.01,96.7
7/22/2022,96.51,97.95,94.23,94.7
7/21/2022,99.91,99.99,94.59,96.35
7/20/2022,103.6,104.39,101.51,102.26
7/19/2022,102,104.46,99.84,104.22
7/18/2022,97.27,102.8,95.85,102.6
7/15/2022,96.39,99.03,94.57,97.59
7/14/2022,96.57,97,90.56,95.78
7/13/2022,95.89,97.96,93.58,96.3
7/12/2022,103.46,103.49,95.35,95.84
7/11/2022,104.79,105.05,100.89,104.09
7/8/2022,102.22,105.24,101.51,104.79
7/7/2022,98.22,104.48,96.57,102.73
7/6/2022,100.36,102.14,95.1,98.53
7/5/2022,110.75,111.45,97.43,99.5
7/1/2022,106.01,109.34,104.56,108.43
6/30/2022,109.7,110.45,105.1,105.76
6/29/2022,111.86,114.05,109.22,109.78
6/28/2022,110.18,112.22,109.62,111.76
6/27/2022,107.22,110.54,105.6,109.57
6/24/2022,103.99,108.58,103.64,107.62
6/23/2022,104.42,107.05,102.32,104.27
6/22/2022,109.54,109.76,101.53,106.19
6/21/2022,110.54,112.47,110.13,110.65
6/17/2022,117.08,118.97,108.25,109.56
6/16/2022,115.98,118.08,112.31,117.59
6/15/2022,119.07,119.61,114.6,115.31
6/14/2022,121.09,123.68,116.62,118.93
6/13/2022,120.19,122.25,117.47,120.93
6/10/2022,121.46,122.75,118.33,120.67
6/9/2022,122.43,122.72,120.79,121.51
6/8/2022,119.79,123.18,119.3,122.11
6/7/2022,119.1,120.36,117.14,119.41
6/6/2022,120.82,121,117.63,118.5
6/3/2022,117.55,120.46,115.23,118.87
6/2/2022,114.8,117.77,111.2,116.87
6/1/2022,115.4,117.87,114.58,115.26
5/31/2022,117.56,119.98,114.15,114.67
5/27/2022,114.2,115.3,112.85,115.07
5/26/2022,110.69,114.83,110.27,114.09
5/25/2022,110.39,111.68,109.23,110.33
5/24/2022,110.41,111.43,108.61,109.77
5/23/2022,110.56,111.96,109.15,110.29
5/20/2022,111.45,114.04,110.85,113.23
5/19/2022,109.09,112.62,105.13,112.21
5/18/2022,113.66,115.42,108.46,109.59
5/17/2022,113.87,115.56,111.75,112.4
5/16/2022,110.98,114.9,108.11,114.2
5/13/2022,106.65,110.64,106.29,110.49
5/12/2022,105.63,107.37,102.66,106.13
